student_id,student_name,assigned_project
S001,Student 001,UNASSIGNED
S002,Student 002,UNASSIGNED
S003,Student 003,UNASSIGNED
S004,Student 004,UNASSIGNED
S005,Student 005,P215
S006,Student 006,UNASSIGNED
S007,Student 007,UNASSIGNED
S008,Student 008,UNASSIGNED
S009,Student 009,UNASSIGNED
S010,Student 010,UNASSIGNED
S011,Student 011,UNASSIGNED
S012,Student 012,UNASSIGNED
S013,Student 013,UNASSIGNED
S014,Student 014,UNASSIGNED
S015,Student 015,UNASSIGNED
S016,Student 016,UNASSIGNED
S017,Student 017,UNASSIGNED
S018,Student 018,UNASSIGNED
S019,Student 019,UNASSIGNED
S020,Student 020,P218
S021,Student 021,UNASSIGNED
S022,Student 022,UNASSIGNED
S023,Student 023,UNASSIGNED
S024,Student 024,UNASSIGNED
S025,Student 025,UNASSIGNED
S026,Student 026,UNASSIGNED
S027,Student 027,UNASSIGNED
S028,Student 028,UNASSIGNED
S029,Student 029,UNASSIGNED
S030,Student 030,UNASSIGNED
S031,Student 031,UNASSIGNED
S032,Student 032,UNASSIGNED
S033,Student 033,UNASSIGNED
S034,Student 034,UNASSIGNED
S035,Student 035,UNASSIGNED
S036,Student 036,UNASSIGNED
S037,Student 037,UNASSIGNED
S038,Student 038,UNASSIGNED
S039,Student 039,UNASSIGNED
S040,Student 040,UNASSIGNED
S041,Student 041,UNASSIGNED
S042,Student 042,UNASSIGNED
S043,Student 043,UNASSIGNED
S044,Student 044,UNASSIGNED
S045,Student 045,UNASSIGNED
S046,Student 046,UNASSIGNED
S047,Student 047,UNASSIGNED
S048,Student 048,UNASSIGNED
S049,Student 049,UNASSIGNED
S050,Student 050,UNASSIGNED
S051,Student 051,UNASSIGNED
S052,Student 052,UNASSIGNED
S053,Student 053,UNASSIGNED
S054,Student 054,UNASSIGNED
S055,Student 055,UNASSIGNED
S056,Student 056,UNASSIGNED
S057,Student 057,UNASSIGNED
S058,Student 058,UNASSIGNED
S059,Student 059,P205
S060,Student 060,UNASSIGNED
S061,Student 061,UNASSIGNED
S062,Student 062,UNASSIGNED
S063,Student 063,UNASSIGNED
S064,Student 064,UNASSIGNED
S065,Student 065,UNASSIGNED
S066,Student 066,UNASSIGNED
S067,Student 067,UNASSIGNED
S068,Student 068,UNASSIGNED
S069,Student 069,UNASSIGNED
S070,Student 070,UNASSIGNED
S071,Student 071,UNASSIGNED
S072,Student 072,UNASSIGNED
S073,Student 073,UNASSIGNED
S074,Student 074,UNASSIGNED
S075,Student 075,UNASSIGNED
S076,Student 076,UNASSIGNED
S077,Student 077,UNASSIGNED
S078,Student 078,UNASSIGNED
S079,Student 079,UNASSIGNED
S080,Student 080,UNASSIGNED
S081,Student 081,UNASSIGNED
S082,Student 082,UNASSIGNED
S083,Student 083,P217
S084,Student 084,UNASSIGNED
S085,Student 085,UNASSIGNED
S086,Student 086,UNASSIGNED
S087,Student 087,UNASSIGNED
S088,Student 088,UNASSIGNED
S089,Student 089,UNASSIGNED
S090,Student 090,UNASSIGNED
S091,Student 091,UNASSIGNED
S092,Student 092,UNASSIGNED
S093,Student 093,UNASSIGNED
S094,Student 094,UNASSIGNED
S095,Student 095,UNASSIGNED
S096,Student 096,UNASSIGNED
S097,Student 097,UNASSIGNED
S098,Student 098,UNASSIGNED
S099,Student 099,UNASSIGNED
S100,Student 100,UNASSIGNED
